date;steps_n;proteins_g;kcal_in;kcal_junk_in;kcal_out_training;sleep_hours;stress_rel;weight_kg;waist_cm
08/12/2025;10000;120;2000;267;202;9;8;73,7;90
07/12/2025;10000;120;2000;269;204;8;7;73;90
06/12/2025;10000;120;2000;272;206;7;8;72,3;90
05/12/2025;10000;120;2000;274;208;10;8;71,7;90
04/12/2025;10000;120;2000;277;210;7;2;71,2;90
03/12/2025;10000;120;2000;280;212;8;4;70,8;90
02/12/2025;10000;120;2000;282;214;10;8;70,4;90
01/12/2025;10000;120;2000;285;216;9;8;70,2;90
30/11/2025;10000;120;2000;288;218;7;2;70;90
29/11/2025;10000;120;2000;290;220;9;3;70;90
28/11/2025;10000;120;2000;293;222;8;1;70,1;90
27/11/2025;10000;120;2000;296;224;6;2;70,2;90
26/11/2025;10000;120;2000;298;226;7;4;70,5;90
25/11/2025;10000;120;2000;301;228;8;3;70,8;90
24/11/2025;10000;120;2000;303;230;9;4;71,2;90
23/11/2025;10000;120;2000;306;232;6;3;71,8;90
22/11/2025;10000;120;2000;309;234;9;7;72,4;90
21/11/2025;10000;120;2000;311;236;8;6;73,1;90
20/11/2025;10000;120;2000;314;238;6;7;73,8;90
19/11/2025;10000;120;2000;317;240;7;1;74,6;90
18/11/2025;10000;120;2000;319;242;9;5;75,5;90
17/11/2025;10000;120;2000;322;244;7;10;76,4;90
16/11/2025;10000;120;2000;325;246;8;9;77,4;90
15/11/2025;10000;120;2000;327;248;10;4;78,3;90
14/11/2025;10000;120;2000;330;250;9;4;79,3;90
13/11/2025;10000;120;2000;333;252;8;7;80,3;90
12/11/2025;10000;120;2000;335;254;7;10;81,3;90
11/11/2025;10000;120;2000;338;256;10;1;82,3;90
10/11/2025;10000;120;2000;340;258;7;3;83,3;90
09/11/2025;10000;120;2000;343;260;8;6;84,2;90
08/11/2025;10000;120;2000;346;262;10;2;85,1;90
07/11/2025;10000;120;2000;348;264;9;3;85,9;90
06/11/2025;10000;80;2000;351;266;7;1;86,7;90
05/11/2025;10000;80;2000;354;268;9;1;87,4;90
04/11/2025;10000;80;2000;356;270;8;10;88;90
03/11/2025;10000;80;2000;359;272;6;4;88,6;90
02/11/2025;10000;80;2000;362;274;7;2;89,1;90
01/11/2025;10000;80;2000;364;276;8;1;89,4;90
31/10/2025;10000;80;2000;367;278;9;6;89,7;90
30/10/2025;10000;80;2000;369;280;6;3;89,9;90
29/10/2025;10000;80;2000;372;282;9;8;90;90
28/10/2025;10000;80;2000;375;284;8;5;90;90
27/10/2025;10000;80;2000;377;286;6;4;89,9;90
26/10/2025;10000;80;2000;380;288;7;5;89,7;90
25/10/2025;10000;80;2000;383;290;9;7;89,3;90
24/10/2025;10000;80;2000;385;292;7;10;88,9;90
23/10/2025;10000;80;2000;388;294;8;10;88,5;90
22/10/2025;10000;80;2000;391;296;10;5;87,9;90
21/10/2025;10000;80;2000;393;298;9;6;87,2;90
20/10/2025;10000;80;2000;396;300;8;8;86,5;90
19/10/2025;10000;80;2000;398;302;7;2;85,7;90
18/10/2025;10000;80;2000;401;304;10;1;84,9;90
17/10/2025;10000;80;2000;404;306;7;4;84;90
16/10/2025;10000;80;2000;406;308;8;2;83;90
15/10/2025;10000;80;2000;409;310;10;5;82,1;90
14/10/2025;10000;80;2000;412;312;9;9;81,1;90
13/10/2025;10000;80;2000;414;314;7;6;80,1;90
12/10/2025;10000;80;2000;417;316;9;1;79,1;90
11/10/2025;10000;80;2000;420;318;8;3;78,1;90
10/10/2025;10000;80;2000;422;320;6;6;77,1;90
09/10/2025;10000;80;2000;425;322;7;4;76,2;90
08/10/2025;10000;80;2000;427;324;8;8;75,3;90
07/10/2025;10000;80;2000;430;326;9;8;74,4;90
06/10/2025;10000;80;2000;433;328;6;10;73,6;90
05/10/2025;10000;80;2000;435;330;9;3;72,9;90
04/10/2025;10000;80;2000;438;332;8;6;72,2;90
03/10/2025;10000;80;2000;441;334;6;3;71,6;90
02/10/2025;10000;80;2000;443;336;7;8;71,1;90
01/10/2025;10000;80;2000;446;338;9;6;70,7;90
30/09/2025;10000;80;2000;449;340;7;10;70,4;90
29/09/2025;10000;80;2000;451;342;8;10;70,2;90
28/09/2025;10000;80;2000;454;344;10;7;70;90
27/09/2025;10000;80;2000;457;346;9;4;70;90
26/09/2025;10000;80;2000;459;348;8;7;70,1;90
25/09/2025;10000;80;2000;462;350;7;3;70,2;90
24/09/2025;10000;80;2000;464;352;10;1;70,5;90
23/09/2025;10000;80;2000;467;354;7;1;70,9;90
22/09/2025;10000;80;2000;470;356;8;5;71,3;90
21/09/2025;10000;80;2000;472;358;10;4;71,9;90
20/09/2025;10000;80;2000;475;360;9;5;72,5;90
19/09/2025;10000;80;2000;478;362;7;2;73,2;90
18/09/2025;10000;80;2000;480;364;9;6;74;90
17/09/2025;10000;80;2000;483;366;8;2;74,8;90
16/09/2025;10000;80;2000;486;368;6;3;75,7;90
15/09/2025;10000;80;2000;488;370;7;8;76,6;90
14/09/2025;10000;80;2000;491;372;8;9;77,5;90
13/09/2025;10000;80;2000;493;374;9;2;78,5;90
12/09/2025;10000;80;2000;496;376;6;6;79,5;90
11/09/2025;10000;80;2000;499;378;9;7;80,5;90
10/09/2025;10000;80;2000;501;380;8;3;81,5;90
09/09/2025;10000;80;2000;504;382;6;2;82,5;90
08/09/2025;10000;80;2000;507;384;7;5;83,4;90
07/09/2025;10000;80;2000;509;386;9;6;84,4;90
06/09/2025;10000;80;2000;512;388;7;1;85,2;90
05/09/2025;10000;80;2000;515;390;8;4;86,1;90
04/09/2025;10000;80;2000;517;392;10;4;86,8;90
03/09/2025;10000;80;2000;520;394;9;3;87,5;90
02/09/2025;10000;80;2000;522;396;8;1;88,1;90
01/09/2025;10000;80;2000;525;398;7;3;88,7;90
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
