date;steps_n;proteins_g;kcal_in;kcal_junk_in;kcal_out_training;sleep_hours;stress_rel;weight_kg;waist_cm
20/12/2025;14933;91;2561;467;167;6;10;83,17045257;97,62353805
19/12/2025;14611;147;1772;215;121;6;2;84,16961649;98,10862574
18/12/2025;13365;134;1802;111;74;7;8;84,083982;97,63124689
17/12/2025;12264;176;2034;221;24;9;4;85,06677198;98,42096581
16/12/2025;10408;151;1771;141;149;6;5;84,73973396;97,89690873
15/12/2025;11338;134;2635;253;31;7;1;84,87521982;98,12218714
14/12/2025;14166;109;1906;367;262;6;1;84,15533123;98,02096157
13/12/2025;10402;192;2491;475;138;7;10;84,80044765;98,60693618
12/12/2025;13568;169;2564;410;300;6;1;83,88738868;98,4096607
11/12/2025;11172;173;2180;318;34;6;6;84,57144008;98,60040409
10/12/2025;11707;101;1773;363;288;6;7;84,07042902;98,38763267
09/12/2025;11914;155;1904;375;19;8;9;84,51901566;98,74992534
08/12/2025;9984;127;2031;328;132;6;8;84,30921397;98,11298217
07/12/2025;11005;129;2136;325;155;9;5;85,2590942;98,29915979
06/12/2025;13037;115;1713;212;12;9;4;84,4219286;97,69208967
05/12/2025;13401;181;2164;341;141;7;4;84,77727941;98,64124625
04/12/2025;11784;102;1960;150;171;6;2;83,97143337;97,721786
03/12/2025;14949;116;1854;48;253;8;4;84,22710427;97,96793829
02/12/2025;13020;190;1726;324;147;6;2;83,48993662;97,83694109
01/12/2025;8324;138;2029;109;67;9;10;84,20596594;98,17862317
30/11/2025;14979;96;2490;35;7;6;4;83,56653326;97,82931541
29/11/2025;13581;135;2268;254;67;9;6;84,2631323;98,19381284
28/11/2025;11664;98;2025;470;269;6;7;83,30909385;97,26089133
27/11/2025;14237;143;1946;360;64;7;7;84,24590592;98,06240688
26/11/2025;10033;191;2357;111;76;7;4;83,45602058;97,32645098
25/11/2025;14911;121;1994;466;244;8;5;84,1629437;97,99471925
24/11/2025;14132;111;1709;191;206;8;1;83,29246608;97,12609839
23/11/2025;8514;104;2594;351;8;6;1;83,84111569;97,78548294
22/11/2025;8339;119;2657;9;15;9;3;83,061844;97,34917547
21/11/2025;14322;167;2528;482;82;6;5;83,99942401;98,16065667
20/11/2025;11922;163;1772;172;246;6;7;83,21241455;97,24882124
19/11/2025;14864;180;2175;142;124;6;10;83,21801986;97,7701273
18/11/2025;10477;97;2235;288;76;8;2;82,63859285;97,34260236
17/11/2025;10517;113;2185;475;248;7;9;83,36515972;98,11212941
16/11/2025;14172;95;1924;20;150;6;7;82,7360948;97,8228337
15/11/2025;11094;113;2540;94;112;8;7;82,75607324;98,56048452
14/11/2025;12648;133;2209;364;257;9;2;81,81012938;97,84389174
13/11/2025;10731;94;2278;195;283;8;7;82,27651695;98,28969294
12/11/2025;9194;163;2127;10;22;8;1;81,84597469;97,50174423
11/11/2025;11441;105;2443;465;82;6;3;82,19277372;98,2076206
10/11/2025;8587;129;1718;67;89;8;4;82,10546793;97,97461427
09/11/2025;8263;127;1807;379;45;6;9;82,8739158;98,15909816
08/11/2025;13211;178;1940;244;212;7;3;82,49989954;98,01446349
07/11/2025;10073;166;2211;350;192;6;7;83,00797007;98,43713653
06/11/2025;12853;181;2535;29;173;6;6;82,03672492;98,27102937
05/11/2025;9989;109;1770;35;184;6;8;82,09809906;98,95546813
04/11/2025;11695;96;2104;485;149;8;10;81,24911196;98,87144337
03/11/2025;13451;174;2072;362;247;9;10;81,26460972;99,82553567
02/11/2025;11948;186;2352;493;284;8;8;80,98847542;99,4133549
01/11/2025;9771;174;1683;404;219;6;5;81,11221423;99,89945274
31/10/2025;13764;159;2222;330;170;7;4;80,19905018;99,77046394
30/10/2025;9205;185;2059;221;1;8;10;80,61893963;100,1117636
29/10/2025;11007;101;1835;330;143;9;3;80,0410692;99,68199043
28/10/2025;12809;158;1724;119;13;6;7;80,44446401;100,0189386
27/10/2025;11227;103;1682;159;87;9;7;80,44231755;99,90881018
26/10/2025;8738;91;2078;95;83;8;3;80,96826549;100,1629907
25/10/2025;8415;163;1819;237;19;6;6;80,67176386;99,3927269
24/10/2025;10013;192;2173;475;170;7;9;81,5393479;100,308692
23/10/2025;8541;110;1694;288;155;9;3;80,73160948;99,83097026
22/10/2025;8146;135;2178;173;77;7;7;81,15663527;100,1620384
